INSTALLED,UPGRADED,Comfort_Level
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,Low Comfort
2011,NA,Low Comfort
2011,NA,Low Comfort
2011,NA,Low Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,Low Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,2015,Low Comfort
2011,2015,Low Comfort
2011,NA,Low Comfort
2011,2015,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,Low Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,2015,High Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,NA,Moderate Comfort
2009,NA,Low Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2010,NA,Moderate Comfort
2010,2015,Moderate Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2013,NA,High Comfort
2013,NA,High Comfort
2013,NA,Low Comfort
2013,NA,Low Comfort
2013,NA,Low Comfort
2013,NA,Low Comfort
2013,NA,Low Comfort
2013,NA,Low Comfort
2013,NA,Low Comfort
2005,NA,Moderate Comfort
2014,NA,Low Comfort
2014,NA,High Comfort
2014,NA,High Comfort
2014,NA,Moderate Comfort
2014,NA,Low Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,High Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2012,NA,Low Comfort
2013,NA,High Comfort
2013,NA,High Comfort
2006,2013,High Comfort
2013,NA,Moderate Comfort
2013,NA,Moderate Comfort
2013,NA,Low Comfort
2013,2019,Low Comfort
2013,NA,High Comfort
2013,NA,High Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,High Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2016,NA,High Comfort
2006,2016,Low Comfort
2016,NA,Moderate Comfort
2016,NA,Moderate Comfort
2016,NA,Low Comfort
2016,NA,Moderate Comfort
2001,2017,Moderate Comfort
2001,NA,High Comfort
2001,2017,High Comfort
2001,2017,Low Comfort
2001,2017,Low Comfort
2007,2017,Low Comfort
2005,NA,Moderate Comfort
2008,NA,Moderate Comfort
2008,NA,Moderate Comfort
2012,2017,High Comfort
2012,2017,High Comfort
2017,NA,Moderate Comfort
2017,NA,Low Comfort
2017,NA,Moderate Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,2015,Low Comfort
2015,NA,Low Comfort
2011,2015,Low Comfort
2007,2015,Low Comfort
2012,2015,High Comfort
2004,2015,High Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2006,2016,Low Comfort
2006,2016,Low Comfort
2006,2016,Low Comfort
2006,2016,Low Comfort
2016,2019,Moderate Comfort
2016,NA,Low Comfort
2016,NA,Low Comfort
2017,NA,High Comfort
2016,NA,High Comfort
2016,NA,High Comfort
2016,NA,Moderate Comfort
2016,NA,Low Comfort
2016,NA,Moderate Comfort
2016,NA,Low Comfort
2016,NA,Low Comfort
2014,NA,Low Comfort
2014,NA,Moderate Comfort
2014,NA,High Comfort
2014,NA,Low Comfort
2014,NA,High Comfort
2015,NA,Moderate Comfort
2015,2015,High Comfort
2015,NA,High Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Moderate Comfort
2015,NA,Low Comfort
2015,NA,High Comfort
2015,NA,Low Comfort
2015,NA,High Comfort
2015,NA,Low Comfort
2014,NA,Moderate Comfort
2014,NA,Moderate Comfort
2016,2020,Low Comfort
2014,NA,Low Comfort
2014,NA,Low Comfort
2014,NA,Low Comfort
2014,NA,Low Comfort
2014,NA,Moderate Comfort
2014,NA,High Comfort
2006,2022,Low Comfort
2006,2020,Moderate Comfort
2006,NA,Moderate Comfort
2006,NA,High Comfort
2006,NA,High Comfort
2006,2022,Moderate Comfort
2007,NA,Low Comfort
2007,NA,Low Comfort
2014,NA,Low Comfort
2014,2017,Low Comfort
2014,2017,Low Comfort
2015,NA,High Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2007,NA,Low Comfort
2007,NA,High Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2015,NA,High Comfort
2015,NA,High Comfort
2015,NA,Low Comfort
2015,NA,Low Comfort
2007,NA,Moderate Comfort
2007,2021,Low Comfort
2007,NA,Moderate Comfort
2007,NA,Low Comfort
2007,NA,Moderate Comfort
2007,NA,Moderate Comfort
2007,2012,High Comfort
2007,2012,High Comfort
2015,2016,High Comfort
2015,2016,Low Comfort
2017,NA,Moderate Comfort
2007,2012,High Comfort
2007,2013,Low Comfort
2007,2015,High Comfort
2007,2018,Moderate Comfort
2007,2017,Low Comfort
2007,2017,Low Comfort
2001,2015,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2009,NA,Moderate Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2008,NA,Moderate Comfort
2008,NA,Moderate Comfort
2008,NA,Moderate Comfort
2008,2019,Moderate Comfort
2008,NA,Moderate Comfort
2008,NA,Moderate Comfort
2008,2009,Moderate Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2001,NA,High Comfort
2014,NA,Low Comfort
2014,NA,Low Comfort
2008,2009,Low Comfort
2015,NA,Moderate Comfort
2017,NA,Moderate Comfort
2008,2011,High Comfort
2008,2020,Low Comfort
2008,2019,Moderate Comfort
2009,NA,Moderate Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2018,NA,Moderate Comfort
2001,2020,Low Comfort
2017,NA,High Comfort
2019,NA,High Comfort
2017,2001,Low Comfort
2017,2017,Low Comfort
2017,2017,Low Comfort
2018,NA,High Comfort
2018,NA,High Comfort
2017,NA,High Comfort
2017,NA,High Comfort
2017,NA,Low Comfort
2001,NA,High Comfort
2001,2017,Low Comfort
2008,2015,High Comfort
2006,2012,Low Comfort
2005,2021,Low Comfort
2009,NA,Moderate Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,NA,High Comfort
2009,2016,Moderate Comfort
2010,NA,Moderate Comfort
2001,NA,High Comfort
2017,NA,High Comfort
2017,NA,High Comfort
2017,NA,High Comfort
2018,NA,High Comfort
2019,NA,High Comfort
2018,NA,High Comfort
2019,NA,High Comfort
2018,NA,Low Comfort
2017,NA,Moderate Comfort
2017,NA,Low Comfort
2001,NA,Low Comfort
2001,2017,High Comfort
2001,NA,Low Comfort
2001,2017,Low Comfort
2010,NA,High Comfort
2010,NA,Low Comfort
2010,NA,Low Comfort
2010,NA,Moderate Comfort
2010,NA,Moderate Comfort
2010,NA,Low Comfort
2010,2014,Moderate Comfort
2011,NA,Low Comfort
